model,epoch,train_loss,val_loss,lr
lstm,21,0.000617,0.008874,9.98e-04
transformer,1,0.007925,0.012878,9.94e-04
transformer,2,0.001287,0.015076,9.76e-04
transformer,3,0.000970,0.014618,9.46e-04
transformer,4,0.000618,0.011890,9.05e-04
transformer,5,0.000576,0.010451,8.54e-04
transformer,6,0.000568,0.010743,7.94e-04
transformer,7,0.000507,0.008754,7.27e-04
transformer,8,0.000484,0.007582,6.55e-04
transformer,9,0.000455,0.007363,5.79e-04
transformer,10,0.000418,0.007181,5.01e-04
transformer,11,0.000506,0.005573,4.22e-04
transformer,12,0.000420,0.007639,3.46e-04
transformer,13,0.000422,0.008592,2.74e-04
transformer,14,0.000434,0.007256,2.07e-04
transformer,15,0.000390,0.006678,1.47e-04
transformer,16,0.000372,0.006739,9.64e-05
transformer,17,0.000336,0.006995,5.54e-05
transformer,18,0.000384,0.006619,2.54e-05
transformer,19,0.000373,0.006825,7.15e-06
transformer,20,0.000361,0.006734,1.00e-03
transformer,21,0.000412,0.005917,9.98e-04
transformer,22,0.000471,0.009710,9.94e-04
transformer,23,0.000478,0.005207,9.86e-04
transformer,24,0.000499,0.005590,9.76e-04
transformer,25,0.000400,0.005360,9.62e-04
transformer,26,0.000362,0.005738,9.46e-04
transformer,27,0.000321,0.005279,9.26e-04
transformer,28,0.000424,0.004104,9.05e-04
transformer,29,0.000433,0.007028,8.80e-04
transformer,30,0.000335,0.004251,8.54e-04
transformer,31,0.000368,0.005201,8.25e-04
transformer,32,0.000325,0.004107,7.94e-04
transformer,33,0.000303,0.003663,7.61e-04
transformer,34,0.000272,0.006317,7.27e-04
transformer,35,0.000295,0.006293,6.92e-04
ensemble,1,0.009629,0.006686,9.94e-04
ensemble,2,0.001830,0.002750,9.76e-04
ensemble,3,0.001382,0.003221,9.46e-04
ensemble,4,0.001108,0.003318,9.05e-04
ensemble,5,0.000807,0.004668,8.54e-04
ensemble,6,0.000813,0.005124,7.94e-04
ensemble,7,0.000666,0.008158,7.27e-04
ensemble,8,0.000674,0.005373,6.55e-04
ensemble,9,0.000670,0.006262,5.79e-04
ensemble,10,0.000570,0.004712,5.01e-04
ensemble,11,0.000624,0.003274,4.22e-04
ensemble,12,0.000579,0.005454,3.46e-04
ensemble,13,0.000513,0.005518,2.74e-04
ensemble,14,0.000529,0.004766,2.07e-04
test_res,1,0.004711,0.000426,9.94e-04
test_res,2,0.000277,0.000287,9.76e-04
test_res,3,0.000194,0.000290,9.46e-04
test_res,4,0.000165,0.000286,9.05e-04
test_res,5,0.000150,0.000281,8.54e-04
test_res,6,0.000132,0.000280,7.94e-04
test_res,7,0.000126,0.000284,7.27e-04
test_res,8,0.000117,0.000282,6.55e-04
lstm,1,0.006231,0.000292,9.94e-04
lstm,2,0.000153,0.000282,9.76e-04
lstm,3,0.000112,0.000280,9.46e-04
lstm,4,0.000108,0.000280,9.05e-04
lstm,5,0.000094,0.000283,8.54e-04
lstm,6,0.000091,0.000281,7.94e-04
lstm,7,0.000088,0.000280,7.27e-04
lstm,8,0.000083,0.000280,6.55e-04
lstm,9,0.000086,0.000281,5.79e-04
lstm,10,0.000082,0.000282,5.01e-04
lstm,11,0.000086,0.000280,4.22e-04
lstm,12,0.000082,0.000280,3.46e-04
lstm,13,0.000081,0.000281,2.74e-04
lstm,14,0.000075,0.000281,2.07e-04
lstm,15,0.000079,0.000280,1.47e-04
transformer,1,0.001271,0.000345,9.94e-04
transformer,2,0.000103,0.000286,9.76e-04
transformer,3,0.000088,0.000291,9.46e-04
transformer,4,0.000077,0.000280,9.05e-04
transformer,5,0.000076,0.000281,8.54e-04
